Country,PopnF1960,PopnF1961,PopnF1962,PopnF1963,PopnF1964,PopnF1965,PopnF1966,PopnF1967,PopnF1968,PopnF1969,PopnF1970,PopnF1971,PopnF1972,PopnF1973,PopnF1974,PopnF1975,PopnF1976,PopnF1977,PopnF1978,PopnF1979,PopnF1980,PopnF1981,PopnF1982,PopnF1983,PopnF1984,PopnF1985,PopnF1986,PopnF1987,PopnF1988,PopnF1989,PopnF1990,PopnF1991,PopnF1992,PopnF1993,PopnF1994,PopnF1995,PopnF1996,PopnF1997,PopnF1998,PopnF1999,PopnF2000,PopnF2001,PopnF2002,PopnF2003,PopnF2004,PopnF2005,PopnF2006,PopnF2007,PopnF2008,PopnF2009,PopnF2010,PopnF2011,PopnF2012,PopnF2013,PopnF2014,PopnF2015,PopnM1960,PopnM1961,PopnM1962,PopnM1963,PopnM1964,PopnM1965,PopnM1966,PopnM1967,PopnM1968,PopnM1969,PopnM1970,PopnM1971,PopnM1972,PopnM1973,PopnM1974,PopnM1975,PopnM1976,PopnM1977,PopnM1978,PopnM1979,PopnM1980,PopnM1981,PopnM1982,PopnM1983,PopnM1984,PopnM1985,PopnM1986,PopnM1987,PopnM1988,PopnM1989,PopnM1990,PopnM1991,PopnM1992,PopnM1993,PopnM1994,PopnM1995,PopnM1996,PopnM1997,PopnM1998,PopnM1999,PopnM2000,PopnM2001,PopnM2002,PopnM2003,PopnM2004,PopnM2005,PopnM2006,PopnM2007,PopnM2008,PopnM2009,PopnM2010,PopnM2011,PopnM2012,PopnM2013,PopnM2014,PopnM2015
Ecuador,2273054,2337597,2404467,2473710,2545374,2619476,2696024,2774956,2856124,2939331,3024414,3111322,3200029,3290433,3382425,3475929,3570909,3667374,3765359,3864922,3966127,4068909,4173289,4279519,4387926,4498716,4611883,4727242,4844572,4963566,5083921,5205479,5328031,5451150,5574332,5697144,5819595,5941560,6062350,6181122,6297395,6410713,6521540,6631445,6742602,6856562,6973890,7094101,7216390,7339478,7462399,7584921,7707253,7829381,7951388,8073299,2272494,2339261,2408425,2480025,2554096,2630644,2709668,2791101,2874784,2960511,3048106,3137509,3228678,3321483,3415780,3511464,3608490,3706861,3806594,3907730,4010322,4114285,4219646,4326695,4435820,4547261,4661022,4776890,4894607,5013814,5134164,5255509,5377639,5500050,5622144,5743432,5863885,5983431,6101537,6217569,6331201,6442040,6550516,6658155,6767043,6878670,6993600,7111378,7231210,7351832,7472293,7592359,7712240,7831931,7951528,8071064
"Egypt, Arab Rep.",13362e3,13722335,14089004,14461633,14840107,15224050,15614402,16010319,16407692,16801128,17187479,17565617,17938875,18314232,18701277,19107607,19535192,19984179,20458035,20960235,21492978,22055828,22647390,23267105,23913914,24585263,25282714,26001388,26724430,27429892,28102310,28734915,29332406,29905239,30469700,31038254,31613597,32193650,32780583,33375878,33980766,34599662,35234300,35880034,36529824,37180097,37825860,38472775,39140493,39855576,40635503,41488021,42403053,43358108,44321011,45267664,13710397,14087666,14471737,14861076,15253975,15648932,16046512,16446246,16844583,17237019,17621120,17995470,18363279,18732575,19114301,19516803,19943393,20393489,20866771,21361505,21876574,22410090,22963040,23540116,24147632,24788543,25465473,26172452,26893248,27606045,28294963,28954913,29589612,30203134,30803147,31396273,31982032,32560916,33142043,33736999,34354139,35000283,35674410,36367592,37066244,37762018,38448425,39132552,39835629,40586867,41405491,42299613,43257849,44255801,45258659,46240420
El Salvador,1401149,1440393,1481555,1524273,1568063,1612556,1657511,1702923,1748933,1795801,1843658,1892446,1941888,1991622,2041188,2090192,2138560,2186192,2232659,2277453,2320246,2360851,2399440,2436504,2472761,2508768,2544541,2580023,2615603,2651732,2688657,2726611,2765310,2803820,2840862,2875494,2907396,2936773,2963858,2989093,3012827,3035111,3055886,3075283,3093449,3110526,3126615,3141835,3156368,3170420,3184164,3197676,3211020,3224328,3237740,3251342,1361748,1402853,1446306,1491612,1538123,1585309,1632886,1680751,1728769,1776866,1824934,1872806,1920244,1966994,2012770,2057333,2100645,2142625,2182966,2221304,2257437,2291207,2322832,2352968,2382519,2412164,2441987,2471862,2501974,2532489,2563425,2594965,2626832,2658014,2687150,2713249,2735967,2755527,2772217,2786567,2799009,2809627,2818415,2825646,2831640,2836680,2840941,2844579,2847831,2850948,2854142,2857532,2861213,2865316,2869966,2875241
Equatorial Guinea,128631,130175,131643,133214,135135,137521,140586,144116,147284,148975,148449,145460,140435,134161,127767,122155,117428,113563,111161,110910,113228,118489,126415,135948,145591,154257,161564,167789,173312,178781,184675,191049,197723,204676,211841,219174,226686,234418,242378,250574,259010,267698,276635,285792,295126,304612,314233,324005,333979,344221,354780,365669,376866,388341,400050,411954,123484,124925,126297,127776,129608,131906,134884,138329,141417,143039,142456,139455,134471,128238,121820,116085,111063,106789,104123,104104,107377,114445,124886,137251,149499,160150,168683,175501,181176,186670,192688,199332,206358,213733,221356,229158,237158,245418,253952,262773,271886,281309,291029,300980,311075,321254,331485,341793,352244,362934,373930,385249,396863,408741,420835,433106
Eritrea,711614,728562,746192,764508,783510,803210,823610,844743,866683,889527,913343,938185,964047,990877,1018587,1047126,1076415,1106496,1137573,1169926,1203722,1238544,1274117,1310849,1349319,1389629,1432871,1478153,1521282,1556629,1580597,1591372,1591368,1586466,1584958,1592967,1612046,1640811,1678795,1724593,1776827,1836125,1902157,1971291,2038735,2101065,2156841,2206973,2253322,2298889,2345960,2394818,NA,NA,NA,NA,696017,712735,730129,748163,766787,785977,805723,826078,847163,869141,892137,916210,941359,967567,994795,1023019,1052182,1082310,1113556,1146128,1180136,1215145,1250888,1287777,1326398,1366864,1410270,1455718,1498996,1534454,1558486,1569272,1569249,1564345,1562913,1571128,1590552,1619801,1658432,1705063,1758329,1818881,1886375,1957117,2026223,2090208,2147599,2199326,2247316,2294660,2343704,2394750,NA,NA,NA,NA
Estonia,676684,682199,689171,696379,704103,711464,717e3,720596,725374,731301,737882,745824,753285,759764,765666,771017,775836,780873,785554,789263,793391,798408,803626,808595,813205,817815,822849,828037,832075,834756,835390,832170,818841,800042,784784,771741,760229,750525,741824,737487,745413,740577,736347,732512,728895,725200,721057,717634,715364,713525,711401,708711,705588,702450,699957,699331,534853,542878,552452,562478,572983,583102,591597,598350,605840,613948,622194,631131,639233,646187,652503,658335,663740,669338,674634,679070,683828,689258,694788,700150,705412,710966,717341,724184,729825,733375,733784,729144,714250,694086,677730,664893,655365,649010,644332,643133,651572,647538,643003,638208,633655,629575,625753,623046,621726,620990,620074,618728,617108,615547,614588,615277
Ethiopia,11140467,11400725,11676256,11965290,12265101,12573865,12888106,13208306,13540998,13895345,14276208,14691847,15136239,15583141,15996732,16354070,16643145,16879317,17100671,17360810,17698635,18128530,18640354,19218571,19837222,20477560,21134172,21814287,22526207,23282703,24091447,24955927,25868291,26811228,27761149,28701225,29624372,30535479,31444449,32366888,33314177,34288877,35287161,36306517,37342474,38391863,39454270,40531336,41624285,42734935,43864521,45013054,46179785,47364217,48565600,49783139,11010751,11270406,11545075,11833088,12131864,12439686,12753070,13072465,13404461,13758277,14138791,14554323,14998768,15445587,15858562,16214469,16501392,16734836,16952760,17208618,17541339,17964789,18469163,19040805,19656281,20298437,20962939,21655932,22382498,23150901,23965647,24829060,25734485,26666716,27605368,28536001,29452042,30357785,31263098,32183273,33129426,34104251,35104009,36125773,37164500,38216568,39281405,40360632,41455323,42567164,43697293,44845642,46011426,47194157,48393132,49607611
Euro area,138092030,139241818,140409998,141594598,142755873,143912580,144988968,145907669,146777773,147674269,148399624,149153879,150115827,151036244,151862161,152604755,153237418,153794662,154361588,154945119,155571430,156136372,156539067,156831823,157068597,157332954,157684495,158072747,158550135,159178402,159861151,160396141,161077628,161676995,162093672,162465710,162850985,163212732,163534237,163927130,164440120,165033584,165794927,166649780,167530250,168372057,169147184,170025227,170865503,171434599,171854576,171504143,171905778,172490164,173067966,173552764,127304471,128583491,129914830,131281848,132626326,133944128,135158529,136206872,137189178,138180793,139016579,139878621,140924860,141925522,142827250,143639960,144335576,144943946,145547361,146154855,146792056,147362291,147774976,148088181,148363643,148685771,149112711,149595575,150175722,150901680,151678544,152312011,153084478,153772170,154273165,154715745,155151851,155548567,155899085,156321586,156870666,157515497,158333328,159240769,160157676,161013289,161778386,162619269,163404675,163918698,164287981,163913497,164255759,164777992,165322200,165821066
European Union,212155641,213810551,215526550,217264784,218988725,220647742,222207471,223711817,225119890,226484221,227592071,228698636,230071925,231372001,232580379,233734427,234770573,235692360,236587410,237481154,238442049,239309083,239967380,240517763,241037522,241600171,242234886,242882571,243607163,244379168,245161744,245620389,246333312,247150879,247716838,248206916,248557714,248996265,249321560,249789332,250083222,250532823,251103068,251963698,252907175,253855924,254768461,255733740,256682280,257442848,257997863,257785470,258344422,259091220,259869026,260565998,197342821,199196455,201144087,203128508,205087135,206944868,208660904,210289735,211796167,213246439,214470193,215702361,217181651,218588634,219895510,221131056,222230420,223195814,224111906,225007388,225950864,226790796,227422065,227951074,228464075,229037589,229702429,230401522,231185384,232012929,232843560,233356026,234105212,234948468,235546065,236064434,236442823,236895364,237243650,237739848,238095609,238624043,239290100,240241004,241260787,242264015,243208030,244182237,245121645,245867526,246414346,246218421,246754153,247472520,248248741,248991764
Europe & Central Asia,351083002,354746310,358521927,362325441,366096635,369766150,372937302,376028173,379012636,381960813,384659047,387400277,390454091,393443217,396321402,399086594,401779100,404335542,406865734,409419929,412090422,414715851,417088340,419356e3,421713175,424090942,426499405,428900017,431307544,433749957,435810459,437394892,439086521,440611181,441564713,442365284,443005318,443744313,444322496,444910254,445391947,446067545,446877496,448036128,449357028,450708170,452082981,453682530,455478476,457351505,459073151,460238133,462128836,464304358,466441194,468422929,316433936,320467976,324631003,328820812,332950315,336925614,340406844,343758679,346961674,350100112,353004168,355944216,359162928,362311150,365342589,368254806,371075517,373752354,376387119,379026293,381757131,384422811,386839214,389166652,391612171,394141041,396776805,399466633,402182655,404893895,407178600,408920111,410690959,412247322,413228045,414032321,414670184,415371790,415900928,416434403,416876985,417508611,418281188,419388371,420646639,421932045,423235550,424746920,426447414,428228948,430004955,431055491,432921946,435077627,437229336,439368228
Europe & Central Asia (excluding high income),147666427,149710184,151771784,153847642,155918968,157958399,159633791,161344721,163020446,164681648,166375983,168102032,169852577,171606357,173363595,175111843,176918917,178674818,180399972,182118373,183900177,185734106,187488028,189235415,191100999,192950398,194755537,196532552,198242188,199881197,201064362,202003840,202790832,203415282,203744096,203990673,204211962,204447271,204637091,204693709,204820271,204777609,204689435,204839895,205091049,205363206,205696646,206094209,206671741,207609442,208623198,209877472,211083821,212393344,213628971,214770219,127554318,129778743,132004552,134227366,136428342,138580928,140415262,142266022,144067129,145839671,147630791,149438132,151257058,153073341,154895247,156716693,158595549,160435759,162251196,164057926,165918990,167817534,169636594,171456366,173406587,175384664,177375140,179377663,181322683,183160180,184503685,185530363,186341869,186948436,187246466,187441322,187604850,187759876,187850512,187800083,187802883,187627333,187402254,187400331,187499273,187634301,187843384,188123889,188594140,189428224,190499131,191570888,192747211,194037394,195264959,196520347
Europe & Central Asia (IDA & IBRD countries),165118456,167330661,169572486,171861073,174158785,176362527,178167092,180044606,181887718,183687319,185448941,187242711,189137529,191049848,192975701,194900546,196888074,198814524,200693527,202563402,204519884,206527300,208461163,210391887,212436278,214449456,216399047,218299818,220106221,221829540,223105196,223984627,224821139,225592730,225976324,226265410,226414661,226704322,226864467,226947258,226802497,226765053,226672534,226815453,227060601,227331459,227656889,228047015,228631463,229584269,230541261,231737395,232939835,234233822,235448071,236561458,143879739,146293938,148714454,151157343,153587655,155908750,157875961,159892292,161858512,163769300,165633133,167515953,169484756,171465050,173459040,175457189,177512692,179517103,181479241,183431114,185461433,187530927,189528940,191530702,193655442,195788491,197909749,200018442,202040137,203940366,205353633,206305769,207145229,207872396,208206890,208430583,208520521,208724485,208787617,208760805,208505286,208327965,208089519,208069343,208150943,208273493,208464408,208727643,209194685,210034078,211041643,212054842,213221919,214492801,215695983,216919124
Fiji,190772,197585,205016,212730,220256,227258,233612,239426,244884,250274,255805,261549,267440,273397,279285,285022,290486,295738,301091,306976,313645,321343,329833,338308,345661,351142,354384,355749,356113,356743,358545,361790,366165,371281,376512,381379,385875,390113,393887,396960,399203,400458,400857,400927,401393,402772,405256,408674,412730,416964,421029,424850,428510,431995,435327,438518,202611,209567,216560,223478,230196,236626,242717,248485,254003,259385,264724,270052,275371,280712,286101,291570,297037,302520,308257,314565,321611,329614,338363,347081,354705,360521,364164,365976,366805,367881,370081,373679,378369,383743,389154,394119,398604,402746,406427,409534,412020,413757,414834,415699,416962,419048,422134,426055,430476,434890,438923,442477,445648,448492,451123,453627
Finland,2296308,2311051,2325442,2340748,2352850,2360011,2368469,2381189,2391908,2390507,2381324,2383994,2397734,2410838,2423026,2433518,2440788,2447701,2454868,2461191,2468711,2478887,2492240,2506409,2519027,2528712,2536085,2542402,2548833,2556932,2566987,2579528,2592375,2603188,2612724,2621144,2628358,2634929,2640762,2645727,2649994,2654726,2659801,2664745,2671081,2678840,2687771,2697874,2709092,2720646,2731596,2742662,2754038,2765015,2774759,2782269,2133326,2149954,2166001,2182561,2195693,2203721,2212400,2224555,2234561,2233278,2224983,2228130,2241923,2255243,2267548,2277922,2284876,2291201,2297660,2303499,2310824,2321077,2334693,2349378,2362776,2373494,2382069,2389721,2397648,2407439,2419444,2434212,2449617,2463259,2475609,2486646,2496215,2504906,2512736,2519747,2526215,2533282,2540797,2548269,2557091,2567256,2578497,2590846,2604307,2618225,2631756,2645610,2659933,2673957,2686753,2697262
Fragile and conflict affected situations,59678525,61062216,62499521,63995850,65564170,67213578,68950685,70773756,72671394,74628589,76635310,78680931,80772628,82933512,85199658,87591328,90125458,92782858,95509980,98232645,100898370,103492951,106038556,108571725,111144758,113800900,116539676,119361063,122305558,125419656,129711140,133298428,137096345,141034815,145014088,148964702,152859072,156723397,160507553,164341074,168390478,172627445,177003532,181510671,186132478,190855274,195692931,200641395,205680689,210771422,215867478,221031661,226202029,231453383,236838869,242380880,59012605,60367110,61778704,63252734,64802163,66436040,68160824,69974470,71865198,73817531,75821091,77864979,79956342,82118601,84388245,86785838,89328315,91996238,94735733,97472162,100152707,102764471,105329908,107883069,110472830,113140858,115882511,118700410,121648251,124790484,129170495,132868028,136813009,140911357,145029760,149075726,153009607,156867287,160622823,164442916,168519070,172834434,177328942,181968643,186699694,191482749,196320980,201222511,206192491,211227677,216357720,221503657,226744195,232088372,237565540,243232999
France,24044278,24342187,24660897,24983162,25285878,25553013,25775777,25959789,26121079,26283456,26463503,26668136,26890269,27115807,27324016,27500784,27641236,27752749,27848313,27946735,28061761,28197112,28349033,28514661,28688510,28866166,29047845,29234198,29421540,29605250,29781985,29815814,29975670,30117735,30241996,30362998,30481676,30600309,30724011,30893889,31118746,31359840,31603453,31843259,32093032,32349115,32587066,32799409,32992334,33171450,33344964,33516583,33689339,33858270,34015615,34153703,22769959,23102564,23458752,23820518,24163525,24470761,24732940,24955667,25154975,25354804,25571592,25812285,26068959,26325457,26558400,26751790,26900257,27011713,27099662,27183859,27279021,27388712,27509694,27641623,27782259,27929520,28084846,28248393,28414946,28577452,28730823,28743498,28875546,28989031,29085198,29178902,29271422,29364536,29462280,29602826,29793752,29997591,30201814,30401625,30611865,30830241,31034310,31216820,31382656,31535594,31682548,31826193,31970451,32113827,32253357,32384688
French Polynesia,37933,39239,40692,42255,43875,45511,47152,48806,50481,52188,53937,55728,57555,59408,61279,63159,65046,66943,68862,70818,72821,74864,76941,79069,81271,83556,85951,88432,90900,93218,95299,97084,98622,100061,101611,103416,105530,107889,110380,112832,115119,117216,119156,120944,122602,124152,125581,126893,128147,129421,130771,132214,133735,135308,136897,138468,40150,41467,42962,44584,46257,47929,49578,51225,52904,54670,56559,58583,60724,62947,65204,67460,69697,71924,74171,76481,78881,81376,83942,86542,89126,91652,94118,96526,98842,101031,103071,104936,106647,108288,109973,111784,113752,115845,118e3,120124,122148,124060,125876,127592,129209,130732,132150,133468,134730,135991,137294,138648,140040,141458,142884,144296
Gabon,255549,258237,261322,264928,269207,274244,280135,286785,293846,300846,307453,313534,319218,324754,330521,336801,343668,351054,358936,367249,375946,385028,394528,404459,414843,425686,436986,448714,460814,473212,485847,498686,511714,524909,538255,551732,565347,579077,592848,606561,620162,633625,647004,660425,674059,688043,702405,717143,732324,748019,764268,781111,798520,816381,834535,852860,243640,245937,248484,251342,254586,258268,262427,267044,272032,277268,282666,288200,293911,299871,306181,312918,320106,327732,335798,344295,353219,362565,372339,382558,393245,404405,416053,428163,440659,453436,466422,479566,492884,506449,520370,534717,549532,564761,580266,595851,611386,626810,642188,657668,673465,689734,706515,723759,741417,759409,777668,796187,814969,833970,853138,872432
"Gambia, The",186942,190988,193924,196110,198101,200337,202873,205682,209024,213198,218406,224819,232382,240774,249528,258313,267052,275884,284952,294487,304673,315448,326795,338984,352367,367143,383487,401193,419608,437834,455233,471587,487109,502129,517171,532642,548618,565052,582097,599913,618619,638319,659037,680703,703194,726425,750378,775104,800661,827131,854568,882994,912374,942632,973664,1005393,180987,185748,189601,192960,196451,200528,205309,210660,216485,222602,228877,235374,242156,249086,255984,262757,269357,275939,282876,290668,299698,309965,321407,334246,348730,364949,383111,402941,423452,443312,461578,477903,492592,506167,519456,533104,547221,561734,576904,593007,610244,628784,648637,669642,691533,714117,737353,761320,786088,811768,838434,866105,894734,924246,954537,985531
Georgia,1948256,1977298,2005572,2033346,2060312,2085829,2108158,2127425,2145490,2164585,2184803,2207130,2229262,2248932,2268756,2286009,2303283,2319960,2334332,2351808,2371083,2389043,2406977,2425227,2442703,2460818,2479325,2496425,2518086,2522139,2519699,2536629,2556343,2576748,2551852,2486086,2425406,2382293,2360373,2343591,2327290,2312417,2298955,2271181,2242646,2213571,2183804,2152990,2122597,2092149,2062066,2032990,2004821,1977498,1950377,1943820,1697344,1726302,1754728,1782754,1809988,1835771,1858542,1878375,1896810,1915715,1935097,1955870,1976038,1993568,2010744,2025191,2039117,2052140,2063368,2078392,2096617,2115457,2135823,2157673,2179497,2202082,2225175,2247075,2272614,2281161,2282301,2299271,2317157,2334352,2309748,2247914,2190694,2149307,2126927,2108909,2091010,2073983,2058045,2029819,2002354,1976429,1952196,1929010,1907403,1885851,1863934,1842010,1820179,1798502,1776623,1773280
Germany,38959290,39194832,39457904,39732921,39965689,40232133,40508294,40645636,40788804,41081462,41189008,41237982,41412348,41521012,41514586,41335428,41130143,41005027,40936144,40923754,40983247,41026893,40973606,40850603,40684252,40552799,40513887,40504578,40581445,40810571,41078671,41295704,41529618,41727746,41806124,41873838,41952421,41982744,41966837,41976351,42017141,42072148,42128082,42137963,42117891,42086157,42034266,41975929,41893888,41782248,41707176,40923792,40977739,41063496,41208877,41539928,33855610,34182800,34567880,34981432,35352648,35731562,36092017,36305700,36505510,36828220,36980281,37074860,37276104,37415654,37452847,37338126,37206807,37154787,37155676,37202596,37305329,37381014,37359760,37277679,37174433,37132074,37206549,37335342,37563174,37940712,38354358,38718192,39094980,39428617,39632224,39804213,39962410,40052027,40080358,40123892,40194367,40277777,40360413,40396213,40398369,40383265,40342185,40290443,40216209,40120059,40069754,39351191,39448084,39582109,39773623,40139841
Ghana,3272096,3376255,3482801,3588936,3691074,3786982,3874544,3955197,4034577,4120587,4218570,4332210,4459138,4591426,4717713,4830597,4926067,5008789,5090505,5187747,5312009,5468014,5651124,5852049,6056939,6255806,6445233,6628436,6809967,6997072,7194710,7405058,7625502,7850625,8072713,8286759,8490413,8686963,8883897,9091757,9318117,9564958,9829859,10110513,10402918,10703650,11012731,11329833,11650629,11969702,12283178,12588953,12887808,13182395,13476927,13774487,3380189,3490290,3602662,3714496,3822212,3923565,4016448,4102245,4186444,4276759,4378407,4495063,4624437,4758685,4886567,5000812,5097404,5181100,5263985,5363023,5490016,5649594,5836988,6043081,6254227,6460432,6658742,6851945,7042630,7235421,7433550,7637678,7846025,8056619,8266631,8474232,8678801,8881620,9085109,9292669,9506877,9728846,9958322,10194883,10437575,10685864,10939160,11198208,11465290,11743462,12034556,12339550,12656757,12982037,13309671,13635406
Greece,4261253,4297964,4327473,4347541,4366306,4387913,4419375,4452621,4477524,4489404,4495463,4511254,4537196,4554670,4568554,4608947,4678705,4737949,4797969,4856347,4902314,4944271,4972474,4999042,5021656,5039054,5053874,5069140,5086054,5111136,5163881,5224578,5263013,5292515,5317664,5341338,5363825,5389429,5418971,5440316,5464346,5495949,5520479,5538753,5557597,5578578,5599287,5616915,5635016,5653482,5665270,5662431,5638195,5603979,5572736,5540968,4070472,4100086,4120760,4132084,4144123,4162420,4194276,4231467,4263241,4283360,4297343,4319782,4351432,4374416,4393468,4437594,4509445,4570530,4631990,4691911,4740191,4785079,4817039,4847585,4874145,4895246,4913339,4931455,4950929,4978362,5032911,5095349,5136048,5167900,5195258,5220815,5244975,5271830,5301538,5321382,5341462,5366183,5381543,5389317,5397544,5408736,5421075,5431558,5442825,5453535,5456071,5442468,5406816,5361232,5319677,5279915
Grenada,48168,48820,49334,49717,49988,50166,50245,50222,50116,49954,49756,49552,49347,49103,48766,48310,47682,46930,46244,45880,46005,46728,47948,49363,50549,51210,51221,50702,49896,49167,48774,48795,49136,49678,50233,50666,50949,51128,51229,51301,51377,51460,51536,51611,51690,51776,51873,51984,52107,52240,52381,52530,52688,52858,53041,53241,41693,42440,43090,43637,44078,44413,44633,44740,44759,44728,44674,44628,44590,44526,44385,44143,43753,43257,42826,42691,42999,43847,45143,46618,47891,48697,48925,48679,48167,47704,47512,47660,48065,48624,49170,49587,49847,49997,50073,50140,50243,50389,50564,50760,50967,51175,51386,51603,51827,52058,52296,52540,52788,53044,53308,53584
Guam,27697,28588,29452,30305,31174,32078,33022,34002,35018,36064,37137,38232,39351,40507,41719,42995,44348,45761,47187,48560,49834,50996,52066,53074,54062,55069,56087,57118,58217,59454,60873,62494,64282,66154,67992,69706,71273,72700,73961,75032,75901,76563,77032,77339,77531,77653,77705,77708,77755,77965,78417,79156,80152,81325,82548,83732,39044,39485,40155,40984,41874,42749,43589,44407,45201,45978,46743,47496,48234,48956,49662,50359,51038,51715,52441,53286,54297,55490,56845,58331,59899,61507,63145,64806,66460,68071,69609,71059,72414,73666,74814,75856,76787,77606,78314,78919,79427,79854,80209,80484,80663,80748,80724,80624,80555,80656,81023,81702,82655,83796,84995,86153
Guatemala,2037502,2093095,2150762,2210437,2271974,2335294,2400348,2467260,2536323,2607921,2682302,2759667,2839873,2922414,3006576,3091876,3178060,3265363,3354383,3445981,3540750,3639015,3740528,3844633,3950374,4057118,4164619,4273264,4383827,4497409,4614806,4736250,4861523,4990422,5122573,5257677,5395596,5536330,5679840,5826116,5975067,6126695,6280722,6436434,6592915,6749507,6905884,7062183,7218787,7376315,7535224,7695559,7857162,8020052,8184218,8349629,2090053,2146989,2205817,2266486,2328872,2392909,2458532,2525844,2595138,2666805,2741082,2818157,2897847,2979566,3062501,3146087,3229969,3314347,3399875,3487511,3577878,3671382,3767633,3865509,3963440,4060381,4155879,4250521,4345579,4442876,4543741,4648750,4757590,4869641,4983890,5099677,5216704,5335456,5456974,5582699,5713593,5850030,5991486,6136912,6284796,6433998,6584157,6735446,6887900,7041718,7197037,7353721,7511597,7670741,7831276,7993268
Guinea,1807536,1837038,1866844,1897448,1929540,1963430,1999564,2037276,2074420,2108111,2136360,2158866,2176554,2190264,2201336,2211139,2219807,2228216,2239428,2257305,2284718,2323777,2374398,2434602,2501165,2572153,2644746,2720565,2807178,2914970,3050117,3216713,3408929,3610898,3800761,3962932,4092020,4192939,4273215,4344946,4417538,4492326,4567930,4647977,4736326,4835732,4948300,5073909,5210144,5353116,5499881,5649899,5803837,5961340,6122232,6286353,1769877,1796740,1824116,1852472,1882464,1914374,1948642,1984604,2020108,2052264,2079082,2100236,2116654,2129238,2139412,2148596,2156961,2165335,2176646,2194567,2221841,2260528,2310594,2370138,2436065,2506536,2578807,2654493,2741092,2848873,2983965,3150397,3342465,3544666,3735628,3900101,4032779,4138427,4224367,4302390,4381627,4463430,4546357,4633595,4728445,4833291,4950001,5078612,5217212,5362654,5512525,5666452,5824930,5987386,6153295,6322237
Guinea-Bissau,312193,315797,319174,322578,326358,330757,335872,341621,347852,354328,360872,367472,374177,380943,387731,394528,401293,408069,415028,422405,430368,438983,448204,457949,468088,478520,489221,500215,511499,523084,534971,547154,559607,572293,585162,598180,611352,624687,638163,651750,665445,679251,693223,707469,722132,737330,753076,769390,786396,804244,823024,842795,863489,884902,906753,928825,304214,307616,310799,314015,317604,321809,326725,332272,338303,344589,350956,357391,363940,370569,377243,383954,390666,397412,404343,411663,419518,427964,436962,446442,456290,466421,476818,487503,498468,509713,521237,533037,545101,557413,569949,582697,595654,608833,622261,635977,650010,664395,679144,694247,709684,725454,741527,757952,774897,792588,811172,830714,851131,872236,893760,915500
Guyana,283051,291888,301082,310211,318700,326147,332420,337666,342116,346124,349976,353604,356979,360461,364511,369394,375351,382122,388846,394337,397758,398863,397957,395441,391956,388030,383698,378979,374378,370507,367793,366498,366510,367398,368513,369378,369855,370082,370187,370396,370863,371617,372561,373585,374528,375283,375810,376159,376418,376717,377154,377749,378483,379366,380401,381586,281171,290146,299477,308676,317078,324232,329912,334320,337952,341534,345585,350207,355209,360458,365716,370773,375657,380323,384381,387340,388856,388865,387509,384926,381346,377013,371900,366170,360494,355730,352489,351004,351111,352512,354717,357317,360338,363772,367129,369793,371355,371546,370546,368952,367634,367212,367895,369479,371678,374032,376208,378134,379927,381667,383492,385499
Haiti,1968718,2007059,2046461,2086872,2128235,2170475,2213710,2257875,2302502,2346977,2390933,2434214,2477177,2520619,2565640,2613088,2663099,2715601,2770957,2829540,2891525,2957134,3026083,3097383,3169681,3241957,3313824,3385402,3456796,3528304,3600136,3672193,3744306,3816552,3889042,3961842,4035024,4108512,4182041,4255251,4327908,4399840,4471173,4542336,4613931,4686363,4759777,4833952,4908486,4982795,5056438,5129271,5201361,5272730,5343472,5413645,1897442,1936304,1976135,2016860,2058401,2100658,2143772,2187656,2231731,2275232,2317706,2358943,2399381,2440036,2482308,2527269,2575143,2625817,2679593,2736725,2797307,2861539,2929182,2999307,3070649,3142239,3213721,3285164,3356548,3427997,3499597,3571198,3642668,3714151,3785869,3857964,3930524,4003442,4076443,4149145,4221294,4292724,4363566,4434219,4505251,4577046,4649702,4723006,4796644,4870158,4943179,5015619,5087467,5158519,5228557,5297422
Heavily indebted poor countries (HIPC),82015794,83946897,85951785,88034069,90198189,92447602,94783538,97206231,99716792,102316065,105004369,107782345,110649260,113602198,116637118,119750839,122949922,126235953,129595700,133011296,136474402,139982306,143553156,147225854,151052286,155073059,159293410,163712128,168353763,173245312,178400170,183843187,189556850,195460073,201441364,207424258,213375980,219329832,225356852,231561755,238021473,244758593,251753008,258987645,266430444,274058147,281870608,289879042,298084141,306487847,315091742,323893561,332892461,342093104,351501906,361122470,80475391,82390629,84380916,86450439,88604410,90846793,93178724,95600018,98111484,100713546,103405990,106189616,109063147,112021595,115058246,118168071,121356125,124624542,127962835,131357106,134801620,138296148,141857368,145518155,149321925,153304070,157466741,161812887,166377833,171203544,176314036,181738113,187454780,193376943,199383723,205391640,211365863,217341345,223390056,229618783,236105551,242875379,249906702,257175370,264639769,272271198,280064013,288035108,296204370,304600103,313241846,322135262,331271352,340636926,350212212,359981635
